Date,Open,High,Low,Close,Adj Close,Volume
29/11/2021,42945.89844,44253.27344,42566.05469,43416.71875,43416.71875,24312734695
30/11/2021,43434.40625,44255.30859,42107.65234,42876.40234,42876.40234,27610222607
01/12/2021,42803.09766,44320.88281,42635.25391,43105.22266,43105.22266,27761408414
02/12/2021,43095.83594,43053.10156,42017.87891,42465.5,42465.5,24346401315
03/12/2021,42489.07031,43274.24219,39679.49219,40505,40505,30069245563
04/12/2021,40602.96484,40736.57422,32400.99023,37181.71094,37181.71094,46390077248
05/12/2021,37182.32422,37610.53516,36166.62891,37300.1875,37300.1875,28104766104
06/12/2021,37333.91016,38409.97266,35642.85547,38138.13672,38138.13672,28430442965
07/12/2021,38137.53516,39241.66016,37894.82813,38277.14453,38277.14453,25425052262
08/12/2021,38252.65625,38775.72266,36977.25,38234.95703,38234.95703,21560727344
09/12/2021,38193.53906,38466.10156,35827.96875,36048.94531,36048.94531,22385781063
10/12/2021,36026.27344,37809.67969,35431.41406,35596.88672,35596.88672,23332265540
11/12/2021,35612.95703,37270.96875,35370.12109,37198.84766,37198.84766,19424308437
12/12/2021,37193.07813,38218.04297,36719.07031,37789.625,37789.625,16548953814
13/12/2021,37802,37878.46484,34720.78125,35371.25391,35371.25391,24344004748
14/12/2021,35350.32031,36604.5,35137.26172,35233.18359,35233.18359,26182362281
15/12/2021,36568.90234,37296.33594,35316.67578,36869.10547,36869.10547,27553269540
16/12/2021,36871.92578,37246.17188,35678.44922,35777.47656,35777.47656,20467365028
17/12/2021,35768.69922,36024.50391,34353.61719,34909.04688,34909.04688,24860377983
18/12/2021,34921.97656,35717.96484,34452.90625,35366.89063,35366.89063,19702018724
19/12/2021,35370.73438,36303.65625,35105.82422,35306.625,35306.625,19014376932
20/12/2021,35306.66406,35874.80469,34434.17969,35489.68359,35489.68359,23439026845
21/12/2021,35494.07422,37208.14453,35370.63281,36882.5,36882.5,20391391249
22/12/2021,36882.86328,37360.14453,36397.41016,36423.58203,36423.58203,18311952305
23/12/2021,36421.95703,38258.19922,35969.34766,37882.67578,37882.67578,21053573651
24/12/2021,37898.72266,38670.05469,37668.80859,37962.45313,37962.45313,18202001925
25/12/2021,37986.89453,38227.17969,37525.11328,37669.39063,37669.39063,14215249191
26/12/2021,37668.51953,38205.39844,37066.77344,37909.79297,37909.79297,15641854070
27/12/2021,37904.64063,38654.78125,37680.02734,37673.98828,37673.98828,18096121351
28/12/2021,37703.33203,37703.33203,35286.32031,35426.80859,35426.80859,24886742615
29/12/2021,35452.875,35814.03125,34239.14063,34410.51563,34410.51563,22263231371
30/12/2021,34444.51953,35485.99609,34131.9375,34953.32813,34953.32813,19771487466
31/12/2021,34946.84375,35862.83594,33857.28125,34221.20313,34221.20313,27324504990
01/01/2022,34225.12109,35345.14844,34207.93359,35241.31641,35241.31641,18166984239
02/01/2022,35236.96875,35385.125,34628.02734,35014.58203,35014.58203,20671834823
03/01/2022,35013.34375,35182.78516,34011.47656,34458.07813,34458.07813,24529292899
04/01/2022,34458.62109,35015.47266,33836.23438,33923.3125,33923.3125,31408198892
05/01/2022,33924.62891,34685.58594,31572.97852,32143.25,32143.25,27187072110
06/01/2022,32140.67383,32303.83594,31560.64258,31892.86133,31892.86133,22321602914
07/01/2022,31887.42578,31887.42578,30278.39063,30568.53711,30568.53711,61932077610
08/01/2022,30571.16016,31076.95508,29931.37891,30712.67578,30712.67578,20654480328
09/01/2022,30713.25391,31415.64258,30421.41406,30836.37695,30836.37695,15667300713
10/01/2022,30835.36914,31066.96484,29381.33203,30796.75977,30796.75977,23641235646
11/01/2022,30795.4668,31556.3125,30499.79297,31347.34766,31347.34766,19311699056
12/01/2022,31351.98633,32191.7207,31182.67773,32065.04492,32065.04492,24441387767
13/01/2022,32063.32227,32219.19531,30961.84961,31058.37109,31058.37109,34777043378
14/01/2022,31063.69531,31693.10547,30587.69531,31512.51758,31512.51758,17238712805
15/01/2022,31514.12695,31973.01172,31201.0918,31572.82422,31572.82422,13433772873
16/01/2022,31568.90625,31762.51367,31217.17188,31532.32813,31532.32813,13093111007
17/01/2022,31535.42969,31592.50391,30537.25391,30958.20313,30958.20313,15893554588
18/01/2022,30957.85352,31281.28906,30462.89258,31158.20898,31158.20898,16483060104
19/01/2022,31157.03906,31135.15234,30335.8125,30672.85742,30672.85742,16967181063
20/01/2022,30672.63477,31788.83984,29913.35742,29918.94336,29918.94336,14990231827
21/01/2022,29933.05469,30218.57813,26401.68945,26892.88672,26892.88672,31727967970
22/01/2022,26903.41406,27063.64844,25337.86133,25840.20508,25840.20508,29295475251
23/01/2022,25852.82617,26881.4082,25662.08789,26762.3418,26762.3418,19194137326
24/01/2022,26761.55078,27617.32422,24572.56445,27174.64063,27174.64063,31031522124
25/01/2022,27174.99414,27720.06445,26548.76563,27353.75781,27353.75781,19562436647
26/01/2022,27351.17773,28745.67188,27022.44531,27364.39648,27364.39648,23259954972
27/01/2022,27356.79102,27748.94141,26628.75391,27741.40625,27741.40625,18705369739
28/01/2022,27734.09375,28332.46875,27072.4375,28186.73438,28186.73438,16589945182
29/01/2022,28184.03516,28777.50781,27904.85547,28450.69922,28450.69922,12826688632
30/01/2022,28460.94922,28545.27344,27940.99805,28290.92969,28290.92969,10925785791
31/01/2022,28292.92773,28731.76563,27387.00977,28622.98047,28622.98047,15422077825
01/02/2022,28621.9668,28962.17383,28232.125,28646.42773,28646.42773,15001134546
